geography_level,geo_code,demographic_type,demographic_group,channel,metric,scope,value,unit,source,source_url,source_year,notes
national,US,all,all_adults,digital,news_consume,news,86,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped (news reach proxy); 56% often
national,US,all,all_adults,tv_linear,news_consume,news,64,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped proxy; 32% often
national,US,all,all_adults,radio,news_consume,news,44,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 11% often. Radio NEWS only — understates general radio reach (see Nielsen rows)
national,US,all,all_adults,print,news_consume,news,25,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 7% often
national,US,all,all_adults,social,news_consume,news,53,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 21% often
national,US,all,all_adults,search,news_consume,news,63,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 19% often
national,US,all,all_adults,podcast,news_consume,news,32,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 10% often. News-podcast overstates general podcast reach (podcast news-seekers skew)
national,US,all,all_adults,tv_linear,news_prefer,news,34,pct_prefer,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS preference
national,US,all,all_adults,radio,news_prefer,news,5,pct_prefer,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS preference
national,US,all,all_adults,print,news_prefer,news,5,pct_prefer,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS preference
national,US,race,black,tv_linear,news_consume,news,76,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,"NEWS-scoped; vs 62% White/Hisp, 52% Asian; strongest TV-news over-index"
